"precinct","elecyear","propturbine","perc_lib"
"22.016.22.36.",2007,0,0.544444444
"22.025.22.65.",2007,0,0.422764228
"22.054.22.48.",2007,0,0.584337349
"22.055.22.61.",2007,0,0.540372671
"22.075.22.20.",2007,0,0.455882353
"22.077.22.82.",2007,0,0.473684211
"22.104.22.51.",2007,0,0.440528634
"22.107.22.58.",2007,0,0.676056338
"22.125.22.57.",2007,0,0.5
"22.129.22.122.",2007,0,0.542635659
"22.168.22.199.",2007,0,0.415492958
"22.175.22.131.",2007,0,0.527950311
"22.213.22.207.",2007,0,0.47311828
"22.262.22.161.",2007,0,0.338235294
"28.013.28.171.",2007,0,0.246073298
"28.028.28.143.",2007,0,0.142857143
"28.034.28.95.",2007,0,0.197740113
"28.045.28.52.",2007,0,0.046511628
"28.049.28.126.",2007,0,0.189516129
"28.058.28.177.",2007,0,0.203539823
"28.066.28.50.",2007,0,0.233502538
"28.068.28.97.",2007,0,0.217391304
"28.075.28.103.",2007,0,0.235294118
"28.098.28.205.",2007,0,0.286713287
"28.103.28.92.",2007,0,0.248730964
"28.104.28.104.",2007,0,0.217898833
"28.115.28.182.",2007,1,0.205128205
"28.116.28.184.",2007,0,0.240437158
"28.119.28.208.",2007,0,0.183266932
"28.120.28.211.",2007,0,0.28125
"28.122.28.26.",2007,0,0.252747253
"28.125.28.29.",2007,0,0.262626263
"28.134.28.91.",2007,0,0.283950617
"28.138.28.135.",2007,1,0.163157895
"28.140.28.147.",2007,1,0.132780083
"28.155.28.37.",2007,0,0.317073171
"28.173.28.60.",2007,0,0.260416667
"28.192.28.85.",2007,0,0.301204819
"28.197.28.134.",2007,0,0.163265306
"28.199.28.3.",2007,0,0.2
"28.206.28.107.",2007,0,0.26035503
"28.219.28.121.",2007,0,0.1484375
"28.227.28.115.",2007,0,0.25748503
"28.229.28.8.",2007,0,0.235294118
"28.245.28.16.",2007,0,0.376404494
"29.001.29.1.",2007,0,0.171428571
"29.007.29.3.",2007,0,0.318181818
"29.010.29.27.",2007,0,0.248780488
"29.024.29.10.",2007,0,0.226415094
"29.027.29.19.",2007,0,0.275280899
"29.030.29.8.",2007,0,0.244791667
"29.036.29.62.",2007,0,0.265957447
